# Logfile created on 2017-04-24 18:08:11 +0000 by logger.rb/56438
[2017-04-24T18:08:11+00:00] INFO: Started chef-zero at chefzero://localhost:8889 with repository at /opt/gitlab/embedded
  One version per cookbook

[2017-04-24T18:08:11+00:00] INFO: Forking chef instance to converge...
[2017-04-24T18:08:11+00:00] INFO: *** Chef 12.12.15 ***
[2017-04-24T18:08:11+00:00] INFO: Platform: x86_64-linux
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-unicorn-control-t.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-postgresql-control-t.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-gitlab-workhorse-run.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-gitaly-log-config.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/gitlab-healthcheck-rc.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-postgresql-log-run.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/database.yml.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-remote-syslog-run.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-logrotate-control-t.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-mailroom-log-config.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/nginx-gitlab-pages-http.conf.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-remote-syslog-log-run.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/secrets.yml.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-redis-exporter-log-run.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/gitlab-psql-rc.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-sidekiq-log-config.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-logrotate-log-run.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/gitconfig-system.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-redis-run.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-postgresql-run.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-node-exporter-run.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/mount_point_check.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/nginx.conf.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-gitaly-log-run.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-gitlab-pages-log-run.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-remote-syslog-log-config.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/resque.yml.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-gitlab-monitor-log-run.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-node-exporter-log-config.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-nginx-log-config.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-registry-run.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/rack_attack.rb.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-mattermost-log-config.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-gitlab-monitor-run.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/redis.conf.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-redis-exporter-log-config.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/smtp_settings.rb.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/logrotate.conf.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-unicorn-log-run.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-redis-log-config.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-gitaly-run.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-nginx-run.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-mailroom-finish.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/gitlab-monitor.yml.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-gitlab-workhorse-log-config.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-prometheus-run.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-registry-log-config.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/metadata.rb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-unicorn-log-config.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/runit/recipes/sysvinit.rb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/runit/recipes/default.rb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/runit/recipes/systemd.rb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/runit/definitions/runit_service.rb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/runit/attributes/default.rb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/runit/recipes/upstart.rb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/runit/files/default/gitlab-runsvdir.conf in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-postgres-exporter-log-run.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/runit/metadata.rb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/remote_syslog.yml.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-node-exporter-log-run.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/config.json.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-redis-log-run.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/gitlab-rails-error.html.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/package/attributes/default.rb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/runit/README.md in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/runit/files/default/gitlab-runsvdir.service in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/nginx-status.conf.erb in the cache.
[2017-04-24T18:08:13+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-postgres-exporter-log-config.erb in the cache.
[2017-04-24T18:08:14+00:00] INFO: directory[/etc/gitlab] mode changed to 775
[2017-04-24T18:08:14+00:00] WARN: Skipped selecting an init system because it looks like we are running in a container
[2017-04-24T18:08:14+00:00] INFO: directory[/opt/gitlab/embedded/etc] created directory /opt/gitlab/embedded/etc
[2017-04-24T18:08:14+00:00] INFO: directory[/opt/gitlab/embedded/etc] owner changed to 0
[2017-04-24T18:08:14+00:00] INFO: directory[/opt/gitlab/embedded/etc] group changed to 0
[2017-04-24T18:08:14+00:00] INFO: directory[/opt/gitlab/embedded/etc] mode changed to 755
[2017-04-24T18:08:14+00:00] INFO: template[/opt/gitlab/embedded/etc/gitconfig] created file /opt/gitlab/embedded/etc/gitconfig
